FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
105,15.7493073548387,2.56168418198871,9.428416,1.73936229007074,18.410256,2.90597864382076,10.28176,10.28176,-0.147098022597185,-0.196373509930161,-0.0112699692762183,-0.190962489117632
106,8.17641333333333,2.89630401671232,7.70035999999999,2.61581971534415,14.44032,3.06172416335183,5.33968000000002,5.33968000000002,-0.230695600684462,-0.263083954738246,-0.01324032668948,-0.34507204639228
107,9.12330273224044,4.11910924180003,6.1807213114754,3.86126796389115,14.9204426229508,2.94501213492708,8.95937704918034,8.95937704918034,-0.110106376455335,-0.157994412293886,-0.00929479713386352,-0.10620593556388
108,9.10750358484123,3.28727566191069,7.45462561576354,2.4001043335415,14.6652463054187,2.94727812883373,6.876921182266,6.876921182266,-0.254151952237963,-0.296563768278143,-0.0142620255248756,-0.31184651382947
109,6.37182819116758,2.85714660568262,4.08243103448276,1.86031519247736,14.428224137931,2.93227280412598,4.53355172413793,4.53355172413793,-0.184642976798125,-0.226041479412519,-0.0127354795456244,-0.220665208431179
110,5.55399715099713,3.88125428888486,1.75270370370369,1.31897146917246,14.3062592592593,2.94227070019006,2.53551851851852,2.53551851851852,-0.0722942651675644,-0.148407414083026,-0.0123422382203156,-0.116327399942307
111,8.01509220779222,3.01440235680444,3.99476704545454,1.56718545413204,14.8376818181818,2.81319646876868,5.209875,5.209875,-0.142814945673318,-0.223743278894197,-0.0114319524531833,-0.206759866431914
112,4.71592273641852,2.80173662894523,2.44122535211267,1.23517745629122,14.2293802816901,2.92292805878353,4.11832394366198,4.11832394366198,-0.182039223921985,-0.239049596722187,-0.0125748666858603,-0.248450126452233
113,4.42196240601504,2.17793289742069,2.99643859649123,1.2272148610427,14.1888070175439,2.94068632290414,3.83868421052632,3.83868421052632,-0.254656173163232,-0.295757980605941,-0.0126054985598181,-0.305768840254413
114,5.53060398860401,1.37978757240491,5.05596296296297,1.21365553689314,14.1157407407407,2.99679718685015,3.33796296296295,3.33796296296295,-0.405736848003408,-0.40380919939925,-0.0135699643824205,-0.41591434921573
115,5.82094461538462,1.56206696132485,5.42896153846154,1.37481322362763,14.1296923076923,2.97951507432425,5.29138461538462,5.29138461538462,-0.374799606460732,-0.378834619077471,-0.0132790425373287,-0.392511933295554
116,5.40485714285716,2.48397084225212,4.54714285714287,1.76415326049707,14.2544285714286,2.95668525236608,4.56371428571429,4.56371428571429,-0.287472927605225,-0.322996426727728,-0.0127046950007824,-0.330033764647146
117,36.641487113402,7.76218568056933,21.6878041237113,4.3741270290487,28.9302886597938,4.85111240228464,20.6734948453608,20.6734948453608,-0.0689445589502442,-0.121954914847773,-0.00576649044162909,-0.106137355016415
118,5.44657142857141,1.46878209724719,5.37657142857143,1.34265832751511,14.1342857142857,2.9831789251328,5.226,5.226,-0.402067029468504,-0.402109677810159,-0.0134904729130159,-0.419278026485371
119,5.41873076923081,1.04297438444354,5.32838461538465,1.05533544362873,14.1033076923077,3.00192275789807,5.1605384615385,5.1605384615385,-0.448318305471079,-0.436090103144811,-0.0141312355136951,-0.453412960959656
120,5.21006666666672,2.26961299315417,5.41,2.32819396825533,14.2015,2.97939630296271,5.362,5.362,-0.342827110662629,-0.338967518568822,-0.0127334661879007,-0.350270619583558
121,4.268,1.11418913000326,4.679,1.2338887638201,14.086,3.01258687504273,4.56,4.56,-0.464559026470957,-0.409291756091403,-0.0134818083131981,-0.424750851520121
122,4.81545454545454,2.24508419202753,4.72166666666667,1.88913985849659,14.1478333333333,2.98287259962813,4.76541666666667,4.76541666666667,-0.305205167993169,-0.31983241898516,-0.0130910443770128,-0.328057435608198
