FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Ca_s,RL_Ch_m,RL_Ch_s,RL_Cm_n,RL_Ca_n,RL_Ch_n,Node_den
64,17.544,4.82050840693192,7.668,3.05812493664469,15.9445,2.7288489086731,10.8155,10.8155,15.336,31.889,21.631,13.2528130743373
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
66,9.12933333333333,0.847605904357935,10.8153333333333,3.0963306127194,14.8756666666667,2.81241410847727,10.8253333333333,10.8253333333333,32.446,44.627,32.476,20.0611391621201
67,7.85189090909092,2.50286184918661,7.06309090909089,2.44987871953923,14.6258181818182,2.59378245230575,6.98490909090907,6.98490909090907,77.6939999999997,160.884,76.8339999999997,54.5307548172371
68,13.74,5.40477674021893,13.315,4.01963088261005,16.066,3.17682801489729,13.33,13.33,26.63,32.132,26.66,9.868056744086
69,74.1616833333333,5.15113958155968,43.762125,3.60318001258306,48.03625,3.42509169630948,44.3284375,44.3284375,700.194,768.58,709.255,63.5139038367075
70,113.043416666667,8.31271993732673,69.91,5.41823149571732,72.9458888888888,5.22340155575862,69.9205555555556,69.9205555555556,629.19,656.512999999999,629.285,56.8495377628685
71,8.5158999999999,1.4444180605121,10.0996,3.47099519556677,14.8966,2.79412877219279,10.1072,10.1072,50.498,74.483,50.536,35.7739242998104
72,11.8955238095238,3.68865967665902,10.2295714285714,3.30820506797753,15.5497142857143,2.59588799280822,10.2014285714286,10.2014285714286,71.607,108.848,71.41,22.7965197131083
73,13.2946071428571,3.55762221254375,12.642875,3.45987417960736,16.081875,2.79488344709719,12.654125,12.654125,101.143,128.655,101.233,9.09331500384047
75,12.164561904762,0.562490446936818,12.0054761904761,0.397975667343282,15.3590476190476,3.18144493692273,11.9323333333332,11.9323333333332,252.114999999999,322.54,250.578999999998,15.0976225463779
