FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
577,41.838324137931,4.44521379100255,22.2770666666667,2.71400890768944,31.8865,2.90432715091342,25.5366,25.5366,0.000318898635579735,0.000732229947156227,4.18151540200527e-06,0.000242847742299645
578,4.03331764705881,1.96410894004387,2.01591428571429,0.623233546532045,14.4414285714286,2.63628948849801,3.37757142857143,3.37757142857143,0.00390043923865263,0.00667722467148766,-0.000128581743370832,0.00336108777022378
579,72.6611723484848,9.32691941882851,42.1216363636363,5.75608905551555,49.6054545454545,5.79535776832971,42.6770909090909,42.6770909090909,2.88812496074639e-05,0.000204356241860318,-4.82572711186686e-05,0.000137769413768782
580,14.6740420765027,13.5225195954111,1.67681967213115,0.930389496506241,20.9930983606558,13.1786463615614,15.215131147541,15.215131147541,0.000523557771034047,0.00880731411438707,-6.7933403401259e-05,7.54267267066496e-05
581,8.7581198067633,3.37867471011822,5.96084782608696,2.34624601669208,14.9526739130435,2.62793348914404,8.29608695652174,8.29608695652174,-0.000201180656919837,0.000762801562101175,-0.000177339758265672,-0.000578774935117307
582,13.2133948886455,4.75001745975554,7.10694578313254,2.9702005223433,17.0651024096386,3.28040477706538,13.1699277108434,13.1699277108434,-1.00077777727038e-05,0.000947705652976612,4.44808292919574e-05,-2.37849112191059e-05
583,5.97722058823528,1.81144435741994,8.50688235294116,5.75845624572287,17.6398823529412,4.50355900269438,15.2095882352941,15.2095882352941,-0.00103595106575287,0.000463507436873093,5.33578779571048e-05,-0.000104412390270824
584,25.8835762575452,4.04114562151386,5.76071830985915,3.27549688107399,24.1443661971831,3.55518912030391,20.2761408450704,20.2761408450704,0.000263234995898351,0.00237475553987155,7.05897864163635e-05,-7.2236769905447e-05
585,7.08202000000001,3.27500642714009,5.24364000000002,2.5859181973379,14.36656,2.71682176207548,7.73771999999999,7.73771999999999,0.0015060730806062,0.00219412250389958,0.000155941945041388,0.00153769687179665
586,19.7410465465465,10.1554430597686,9.53272972972974,5.35019360377682,18.8517297297297,5.61723935081179,13.1916486486487,13.1916486486487,0.000469585886276011,0.00137127088136205,3.2975335882322e-05,0.000229518073523263
